SYMBOL,mean,count
TCS,80773,1
BAJFINANCE,53997,1
ICICIBANK,50234,1
INFY,48717,1
SBIN,44949,1
RELIANCE,43859,1
HINDUNILVR,43410,1
HDFCBANK,41707,1
HDFC,40860,1
AXISBANK,38260,1
HCLTECH,34373,1
SAIL,33563,1
INDUSINDBK,32711,1
ITC,30656,1
WIPRO,25118,1
TECHM,23752,1
KOTAKBANK,19035,1
TATASTEEL,18663,1
BAJAJFINSV,17205,1
NAUKRI,15667,1
VEDL,15635,1
SHREECEM,15620,1
TATAMOTORS,15454,1
ATGL,15357,1
DIVISLAB,15064,1
MARUTI,15032,1
ADANIENT,14971,1
BHARTIARTL,14724,1
HEROMOTOCO,13699,1
M&M,12952,1
LT,12108,1
BAJAJ-AUTO,12070,1
ASIANPAINT,11563,1
HAPPSTMNDS,11412,1
DRREDDY,11258,1
APOLLOHOSP,11199,1
INDIGO,10873,1
ULTRACEMCO,10743,1
JSWSTEEL,10690,1
ADANITRANS,10522,1
ADANIPORTS,10451,1
HINDALCO,10245,1
BRITANNIA,10117,1
ADANIPOWER,9925,1
UPL,9746,1
EICHERMOT,9693,1
TATACOMM,9639,1
LIQUIDBEES,9090,1
POWERGRID,8529,1
IRCTC,8347,1
IDFCFIRSTB,8310,1
TATACONSUM,8291,1
AMBUJACEM,8262,1
SUNPHARMA,8105,1
BPCL,7989,1
ONGC,7833,1
ICICIGI,7718,1
NESTLEIND,7713,1
HDFCLIFE,7553,1
DIXON,7534,1
NMDC,7394,1
SRTRANSFIN,6818,1
LAURUSLABS,6763,1
SBICARD,6725,1
TATAPOWER,6559,1
ZEEL,6556,1
CIPLA,6367,1
PFC,6282,1
PVR,6230,1
IBULHSGFIN,6112,1
BEL,6097,1
GODREJCP,6046,1
FORTIS,6031,1
TATAELXSI,5765,1
CHOLAFIN,5723,1
BHEL,5680,1
TATACHEM,5621,1
CANBK,5617,1
TITAN,5600,1
ACC,5524,1
JUBLFOOD,5470,1
PNB,5369,1
VOLTAS,5328,1
MOTHERSUMI,5325,1
ASHOKLEY,5279,1
GRASIM,5271,1
RBLBANK,5249,1
IDEA,5193,1
BANKBARODA,5151,1
NTPC,5101,1
LTI,5040,1
BANDHANBNK,5037,1
DMART,5022,1
DLF,4975,1
HINDPETRO,4930,1
ICICIPRULI,4919,1
CROMPTON,4918,1
JINDALSTEL,4914,1
AUROPHARMA,4652,1
BATAINDIA,4647,1
